filename,rms
00002.wav,0.08839163
00003.wav,0.08233718
00004.wav,0.046341293
00005.wav,0.059345722
00006.wav,0.06950139
00007.wav,0.07658876
00008.wav,0.06470102
00009.wav,0.032384496
00010.wav,0.090827495
00011.wav,0.09142595
00012.wav,0.087071076
00013.wav,0.1114615
00014.wav,0.017856805
00015.wav,0.05629768
00016.wav,0.04024742
00017.wav,0.058099885
00018.wav,0.034096725
00019.wav,0.05309063
00020.wav,0.061890062
00021.wav,0.05702105
00022.wav,0.049580436
00023.wav,0.026972264
00024.wav,0.07192519
00025.wav,0.053507216
00026.wav,0.04512805
00027.wav,0.12204853
00028.wav,0.048565045
00029.wav,0.09828148
00030.wav,0.028620856
00031.wav,0.124235064
00032.wav,0.0846504
00033.wav,0.04405327
00034.wav,0.07820461
00035.wav,0.08011663
00036.wav,0.036199484
00037.wav,0.1472659
00038.wav,0.052984145
00039.wav,0.08070992
00040.wav,0.030410225
00041.wav,0.06748
00042.wav,0.054469366
00043.wav,0.021044258
00044.wav,0.05771609
00045.wav,0.07088226
00046.wav,0.06914535
00047.wav,0.07780959
00048.wav,0.10008673
00049.wav,0.035912015
00050.wav,0.11639827
00051.wav,0.08911718
00052.wav,0.08145761
00053.wav,0.06733101
00054.wav,0.062506214
00055.wav,0.08728835
00056.wav,0.06476369
00057.wav,0.04583421
00058.wav,0.101834685
00059.wav,0.0512242
00060.wav,0.07119027
00061.wav,0.027234806
00062.wav,0.06093476
00063.wav,0.047040943
00064.wav,0.08396682
00065.wav,0.011503851
00066.wav,0.026515104
00067.wav,0.08908199
00068.wav,0.14254625
00069.wav,0.02044899
00070.wav,0.051114775
00071.wav,0.069824286
00072.wav,0.013771596
00073.wav,0.04274445
00074.wav,0.02933273
00075.wav,0.019975359
00076.wav,0.07660472
00077.wav,0.03697475
00078.wav,0.07479904
00079.wav,0.062171213
00080.wav,0.06273773
00081.wav,0.074871525
00082.wav,0.08067092
00083.wav,0.0676019
00084.wav,0.057538617
00085.wav,0.07899171
00086.wav,0.07691873
00087.wav,0.06296083
00088.wav,0.0951466
00089.wav,0.08657598
00090.wav,0.12866564
00091.wav,0.042466268
00092.wav,0.060898412
00093.wav,0.28451103
00094.wav,0.092758365
00095.wav,0.04087083
00096.wav,0.056244504
00097.wav,0.0484588
00098.wav,0.059173293
00099.wav,0.06261819
00100.wav,0.104858495
